"Category"	"Uniquely mapped"	"Mapped to multiple loci"	"Mapped to too many loci"	"Unmapped: too many mismatches"	"Unmapped: too short"	"Unmapped: other"
"20220302_Meso_Lsca_10_C_T2_Lscabra_CgoreauiDavies"	5300313	420841	8049	890756	22967292	2959
"20220302_Meso_Lsca_10_C_T3_Lscabra_CgoreauiDavies"	3236042	300839	8619	861099	19244620	2366
"20220302_Meso_Lsca_10_H_T2_Lscabra_CgoreauiDavies"	6599354	1392773	12356	706396	14831960	2355
"20220302_Meso_Lsca_10_L_T2_Lscabra_CgoreauiDavies"	4177093	456908	6192	907944	21552156	2710
"20220302_Meso_Lsca_10_L_T3_Lscabra_CgoreauiDavies"	3404636	236847	6255	823865	15426579	1990
"20220302_Meso_Lsca_10_M_T2_Lscabra_CgoreauiDavies"	2138189	391781	6001	822392	20476373	0
"20220302_Meso_Lsca_10_M_T3_Lscabra_CgoreauiDavies"	3228970	321574	5833	1111371	21355508	2603
"20220302_Meso_Lsca_10_T0_Lscabra_CgoreauiDavies"	4533862	436494	4166	658492	20086563	2572
"20220302_Meso_Lsca_10_TF_Lscabra_CgoreauiDavies"	2970856	199931	4121	721105	21402890	2530
"20220302_Meso_Lsca_1_C_T2_Lscabra_CgoreauiDavies"	6153771	475684	7810	553836	17865593	2506
"20220302_Meso_Lsca_1_C_T3_Lscabra_CgoreauiDavies"	6581607	365437	6713	877465	15627796	4692
"20220302_Meso_Lsca_1_H_T2_Lscabra_CgoreauiDavies"	7551835	1481021	13917	905057	16663689	2662
"20220302_Meso_Lsca_1_L_T2_Lscabra_CgoreauiDavies"	5260339	481179	8119	544732	13803234	4020
"20220302_Meso_Lsca_1_L_T3_Lscabra_CgoreauiDavies"	10531002	601226	12436	1417202	25121408	7538
"20220302_Meso_Lsca_1_M_T2_Lscabra_CgoreauiDavies"	8603874	1588155	18901	1131180	22217454	3357
"20220302_Meso_Lsca_1_M_T3_Lscabra_CgoreauiDavies"	10222773	628628	11038	1175110	21919531	6793
"20220302_Meso_Lsca_1_T0_Lscabra_CgoreauiDavies"	10167326	693614	15002	1116548	27873832	7975
"20220302_Meso_Lsca_1_TF_Lscabra_CgoreauiDavies"	5116811	300643	7185	537274	19742910	2571
"20220302_Meso_Lsca_4_C_T2_Lscabra_CgoreauiDavies"	6956822	498757	8488	583779	17776837	5166
"20220302_Meso_Lsca_4_H_T2_Lscabra_CgoreauiDavies"	8070681	1543332	12012	986553	15415210	2603
"20220302_Meso_Lsca_4_L_T2_Lscabra_CgoreauiDavies"	6742699	516572	7307	690887	15068254	4606
"20220302_Meso_Lsca_4_L_T3_Lscabra_CgoreauiDavies"	10931542	775160	18242	1419599	24399834	11267
"20220302_Meso_Lsca_4_M_T2_Lscabra_CgoreauiDavies"	10842256	2427016	18492	1520500	24679498	3949
"20220302_Meso_Lsca_4_M_T3_Lscabra_CgoreauiDavies"	11068580	907140	16300	1512013	26068373	7916
"20220302_Meso_Lsca_4_T0_Lscabra_CgoreauiDavies"	9724870	904426	13848	1288389	31881064	8765
"20220302_Meso_Lsca_4_TF_Lscabra_CgoreauiDavies"	6671516	330199	5402	522953	14076512	4322
"20220302_Meso_Lsca_6_C_T2_Lscabra_CgoreauiDavies"	5179041	524445	7829	486456	19131419	5067
"20220302_Meso_Lsca_6_C_T3_Lscabra_CgoreauiDavies"	5213042	363867	8979	847056	16518746	6887
"20220302_Meso_Lsca_6_H_T2_Lscabra_CgoreauiDavies"	12192494	2517716	23394	1179073	19808421	10719
"20220302_Meso_Lsca_6_H_T3_Lscabra_CgoreauiDavies"	2190779	732243	5891	2143890	19041794	2412
"20220302_Meso_Lsca_6_L_T2_Lscabra_CgoreauiDavies"	7318898	750209	9014	854431	16716572	7698
"20220302_Meso_Lsca_6_L_T3_Lscabra_CgoreauiDavies"	5619922	461325	9210	832595	12943974	5961
"20220302_Meso_Lsca_6_M_T2_Lscabra_CgoreauiDavies"	8139689	1633762	11205	600270	12523196	2291
"20220302_Meso_Lsca_6_M_T3_Lscabra_CgoreauiDavies"	10695298	1131566	17786	1305814	25361292	7704
"20220302_Meso_Lsca_6_T0_Lscabra_CgoreauiDavies"	10191148	1107140	10986	1242128	23341956	7180
"20220302_Meso_Lsca_6_TF_Lscabra_CgoreauiDavies"	3486772	256852	5520	314243	20872205	2494
"20220302_Meso_Lsca_9_C_T2_Lscabra_CgoreauiDavies"	8068863	992641	16828	1274895	32424263	8556
"20220302_Meso_Lsca_9_C_T3_Lscabra_CgoreauiDavies"	9054584	794946	19330	1834927	30764758	4248
"20220302_Meso_Lsca_9_H_T2_Lscabra_CgoreauiDavies"	7113308	1012932	6121	623430	14678724	2344
"20220302_Meso_Lsca_9_H_T3_Lscabra_CgoreauiDavies"	3925661	709666	6735	1641803	17967680	2425
"20220302_Meso_Lsca_9_L_T2_Lscabra_CgoreauiDavies"	84547	65595	9107	199371	23376248	0
"20220302_Meso_Lsca_9_L_T3_Lscabra_CgoreauiDavies"	4298262	347026	7649	887403	15485387	4206
"20220302_Meso_Lsca_9_M_T2_Lscabra_CgoreauiDavies"	7009983	1136844	9775	612284	13577499	2235
"20220302_Meso_Lsca_9_M_T3_Lscabra_CgoreauiDavies"	5904717	605966	7884	730531	15505002	2276
"20220302_Meso_Lsca_9_T0_Lscabra_CgoreauiDavies"	8436640	949536	16360	1329901	40804257	10309
"20220302_Meso_Lsca_9_TF_Lscabra_CgoreauiDavies"	9189754	777938	17310	1221239	29497001	8142
